
2024/09/23 (20:00:11) | ===> btop++ v.1.4.0
2024/09/23 (20:00:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (21:25:31) | ===> btop++ v.1.4.0
2024/09/23 (21:25:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (17:14:59) | ===> btop++ v.1.4.0
2024/09/27 (17:14:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (17:45:03) | ===> btop++ v.1.4.0
2024/09/27 (17:45:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (20:36:06) | ===> btop++ v.1.4.0
2024/09/27 (20:36:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (20:48:25) | ===> btop++ v.1.4.0
2024/09/27 (20:48:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (21:23:23) | ===> btop++ v.1.4.0
2024/09/27 (21:23:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (21:38:05) | ===> btop++ v.1.4.0
2024/09/27 (21:38:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (12:10:11) | ===> btop++ v.1.4.0
2024/09/28 (12:10:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (18:13:49) | ===> btop++ v.1.4.0
2024/09/28 (18:13:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (18:42:54) | ===> btop++ v.1.4.0
2024/09/28 (18:42:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (21:05:01) | ===> btop++ v.1.4.0
2024/09/28 (21:05:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (12:28:25) | ===> btop++ v.1.4.0
2024/09/29 (12:28:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (00:24:59) | ===> btop++ v.1.4.0
2024/09/30 (00:24:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (11:37:45) | ===> btop++ v.1.4.0
2024/09/30 (11:37:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (12:34:01) | ===> btop++ v.1.4.0
2024/09/30 (12:34:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (12:38:47) | ===> btop++ v.1.4.0
2024/09/30 (12:38:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (15:59:44) | ===> btop++ v.1.4.0
2024/09/30 (15:59:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (16:40:26) | ===> btop++ v.1.4.0
2024/09/30 (16:40:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (18:21:47) | ===> btop++ v.1.4.0
2024/09/30 (18:21:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (18:43:11) | ===> btop++ v.1.4.0
2024/09/30 (18:43:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (01:19:15) | ===> btop++ v.1.4.0
2024/10/02 (01:19:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (11:32:36) | ===> btop++ v.1.4.0
2024/10/02 (11:32:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (12:33:56) | ===> btop++ v.1.4.0
2024/10/02 (12:33:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (12:36:27) | ===> btop++ v.1.4.0
2024/10/02 (12:36:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (16:39:41) | ===> btop++ v.1.4.0
2024/10/06 (16:39:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (17:12:59) | ===> btop++ v.1.4.0
2024/10/06 (17:12:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (17:21:23) | ===> btop++ v.1.4.0
2024/10/06 (17:21:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (17:33:11) | ===> btop++ v.1.4.0
2024/10/06 (17:33:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (18:42:46) | ===> btop++ v.1.4.0
2024/10/06 (18:42:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (19:20:19) | ===> btop++ v.1.4.0
2024/10/06 (19:20:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (21:43:15) | ===> btop++ v.1.4.0
2024/10/06 (21:43:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (22:10:58) | ===> btop++ v.1.4.0
2024/10/06 (22:10:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (22:28:52) | ===> btop++ v.1.4.0
2024/10/06 (22:28:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (23:14:56) | ===> btop++ v.1.4.0
2024/10/06 (23:14:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (23:48:57) | ===> btop++ v.1.4.0
